"","CAND_ID","CAND_ELECTION_YR","CMTE_ID","LINKAGE_ID"
"555","H2AZ08185",2022,"C00815878",244945
"556","H2AZ08193",2022,"C00826354",245877
"557","H2AZ08201",2022,"C00826354",245883
"558","H2AZ09134",2022,"C00766469",239328
"559","H2AZ09142",2022,"C00771279",240009
"560","H2AZ09159",2022,"C00777110",240530
"561","H2AZ09167",2022,"C00781153",241032
"562","H2AZ09175",2022,"C00786715",241731
"563","H2AZ09183",2022,"C00788356",241844
"564","H2AZ09191",2022,"C00798637",245749
"565","H2AZ09191",2022,"C00792085",242183
"566","H2AZ09209",2022,"C00801779",243216
"567","H2AZ09217",2022,"C00806141",243786
"568","H2AZ09225",2022,"C00812982",244630
"569","H2AZ09241",2022,"C00818567",245539
"570","H2CA00096",2022,"C00495507",235489
"571","H2CA00104",2022,"C00498212",235491
"572","H2CA00120",2022,"C00513077",235013
"573","H2CA00120",2022,"C00528547",235591
"574","H2CA00146",2022,"C00776948",240690
"575","H2CA00153",2022,"C00784835",241525
"576","H2CA01177",2022,"C00769687",239786
"577","H2CA01185",2022,"C00771659",240037
"578","H2CA01219",2022,"C00782060",241127
"579","H2CA01227",2022,"C00783498",241415
"580","H2CA01235",2022,"C00787259",241763
"581","H2CA01250",2022,"C00804716",243609
"582","H2CA01268",2022,"C00804906",243610
"583","H2CA01276",2022,"C00822262",245551
"584","H2CA02142",2022,"C00509422",235029
"585","H2CA02209",2022,"C00786335",241690
"586","H2CA02225",2022,"C00800714",243131
"587","H2CA02241",2022,"C00808840",244069
"588","H2CA02258",2022,"C00814426",244796
"589","H2CA03116",2022,"C00784397",241569
"590","H2CA03132",2022,"C00800318",243085
"591","H2CA03140",2022,"C00802199",243269
"592","H2CA03157",2022,"C00801985",243398
"593","H2CA03157",2022,"C00818328",245198
"594","H2CA03157",2022,"C00775023",245535
"595","H2CA04122",2022,"C00786087",241676
"596","H2CA04130",2022,"C00802546",243304
"597","H2CA04148",2022,"C00807735",244130
"598","H2CA04155",2022,"C00804682",244280
"599","H2CA05103",2022,"C00799957",243048
"600","H2CA05111",2022,"C00802116",243233
"601","H2CA05129",2022,"C00805648",243702
