"","Candidate","Party.Num","State","State_Abbr","Office","District","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Election_Denier.Num","Fundraising_Total","index","full_district","Special","Winner"
"166","Kermit Jones",1,"California","CA","Representative","3",1,0,1,0,0,0,0,0,0,1332081,"169","CA-3",0,0
"167","Mike Thompson",1,"California","CA","Representative","4",1,1,0,0,0,0,0,1,0,326121,"170","CA-4",0,1
"168","Michael J. ""Mike"" Barkley",1,"California","CA","Representative","5",1,1,0,0,0,0,0,0,0,13361,"171","CA-5",0,0
"169","Ami Bera",1,"California","CA","Representative","6",1,0,0,1,0,0,0,1,0,227107,"172","CA-6",0,1
"170","Doris Matsui",1,"California","CA","Representative","7",0,0,0,1,0,0,0,1,0,138764,"173","CA-7",0,1
"171","John Garamendi",1,"California","CA","Representative","8",1,1,0,0,0,0,0,1,0,257746,"174","CA-8",0,1
"172","Josh Harder",1,"California","CA","Representative","9",1,1,0,0,0,0,0,1,0,2133008,"175","CA-9",0,1
"173","Nancy Pelosi",1,"California","CA","Representative","11",0,1,0,0,0,0,0,1,0,15995076,"177","CA-11",0,1
"174","Barbara Lee",1,"California","CA","Representative","12",0,0,1,0,0,0,0,1,0,578965,"178","CA-12",0,1
"175","Adam Gray",1,"California","CA","Representative","13",1,1,0,0,0,0,0,0,0,839944,"179","CA-13",0,0
"176","Eric Swalwell",1,"California","CA","Representative","14",1,1,0,0,0,0,0,1,0,1196979,"180","CA-14",0,1
"177","Ro Khanna",1,"California","CA","Representative","17",1,0,0,1,0,0,0,1,0,1940962,"185","CA-17",0,1
"178","Zoe Lofgren",1,"California","CA","Representative","18",0,1,0,0,0,0,0,1,0,276598,"186","CA-18",0,1
"179","Jimmy Panetta",1,"California","CA","Representative","19",1,1,0,0,0,0,0,1,0,502485,"187","CA-19",0,1
"180","Marisa Wood",1,"California","CA","Representative","20",0,1,0,0,0,0,0,0,0,215234,"188","CA-20",0,0
"181","Jim Costa",1,"California","CA","Representative","21",1,1,0,0,0,0,0,1,0,596214,"189","CA-21",0,1
"182","Rudy Salas",1,"California","CA","Representative","22",1,0,0,0,1,0,0,0,0,1218515,"190","CA-22",0,0
"183","Derek Marshall",1,"California","CA","Representative","23",1,1,0,0,0,0,0,0,0,351042,"191","CA-23",0,0
"184","Salud Carbajal",1,"California","CA","Representative","24",1,0,0,0,1,0,0,1,0,453076,"192","CA-24",0,1
"185","Raul Ruiz",1,"California","CA","Representative","25",1,0,0,0,1,0,0,1,0,391028,"193","CA-25",0,1
"186","Julia Brownley",1,"California","CA","Representative","26",0,1,0,0,0,0,0,1,0,628126,"194","CA-26",0,1
"187","Christy Smith",1,"California","CA","Representative","27",0,1,0,0,0,0,0,0,0,1801428,"195","CA-27",0,0
"188","Judy Chu",1,"California","CA","Representative","28",0,0,0,1,0,0,0,1,0,692097,"196","CA-28",0,1
"189","Grace F. Napolitano",1,"California","CA","Representative","31",0,0,0,0,1,0,0,1,0,29750,"201","CA-31",0,1
"190","Brad Sherman",1,"California","CA","Representative","32",1,1,0,0,0,0,0,1,0,459930,"202","CA-32",0,1
"191","Pete Aguilar",1,"California","CA","Representative","33",1,0,0,0,1,0,0,1,0,615949,"203","CA-33",0,1
"192","Norma J. Torres",1,"California","CA","Representative","35",0,0,0,0,1,0,0,1,0,110977,"206","CA-35",0,1
"193","Ted W. Lieu",1,"California","CA","Representative","36",1,0,0,1,0,0,0,1,0,348391,"207","CA-36",0,1
"194","Linda T. Sánchez",1,"California","CA","Representative","38",0,0,0,0,1,0,0,1,0,199242,"210","CA-38",0,1
"195","Mark Takano",1,"California","CA","Representative","39",1,0,0,1,0,0,0,1,0,272230,"211","CA-39",0,1
"196","Asif Mahmood",1,"California","CA","Representative","40",1,0,0,1,0,0,0,0,0,883344,"212","CA-40",0,0
"197","Will Rollins",1,"California","CA","Representative","41",1,1,0,0,0,0,0,0,0,1724563,"213","CA-41",0,0
"198","Robert Garcia",1,"California","CA","Representative","42",1,0,0,0,1,0,0,0,0,282463,"214","CA-42",0,1
"199","Maxine Waters",1,"California","CA","Representative","43",0,0,1,0,0,0,0,1,0,292754,"215","CA-43",0,1
"200","Nanette Diaz Barragan",1,"California","CA","Representative","44",0,0,0,0,1,0,0,1,0,143013,"216","CA-44",0,1
"201","Jay F. Chen",1,"California","CA","Representative","45",1,0,0,1,0,0,0,0,0,1735483,"217","CA-45",0,0
"202","Lou Correa",1,"California","CA","Representative","46",1,0,0,0,1,0,0,1,0,189441,"218","CA-46",0,1
"203","Katie Porter",1,"California","CA","Representative","47",0,1,0,0,0,0,0,1,0,5756969,"219","CA-47",0,1
"204","Stephen Houlahan",1,"California","CA","Representative","48",1,1,0,0,0,0,0,0,0,27932,"220","CA-48",0,0
"205","Mike Levin",1,"California","CA","Representative","49",1,1,0,0,0,0,0,1,0,1649266,"221","CA-49",0,1
"206","Scott Peters",1,"California","CA","Representative","50",1,1,0,0,0,0,0,1,0,250964,"222","CA-50",0,1
