TBLID,GEOID,GEONAME,PROFLN,TITLE,PRF_ESTIMATE,PRF_MG_ERROR,PCT_ESTIMATE,PCT_MG_ERROR,SOURCE
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",78.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",78.5,RESIDENCE 1 YEAR AGO,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",79,Population 1 year and over,"3,248,011","+/-2,728","3,248,011",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",80,Same house,"3,040,178","+/-12,763",93.6,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",81,"Different house (in Puerto Rico, the U.S., or elsewhere)","207,833","+/-12,313",6.4,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",82,Different house in Puerto Rico or the U.S.,"204,974","+/-12,374",6.3,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",83,In Puerto Rico,"177,594","+/-12,122",5.5,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",84,Same municipio,"105,575","+/-9,300",3.3,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",85,Different municipio,"72,019","+/-7,177",2.2,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",86,In the United States,"27,380","+/-3,989",0.8,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",87,Elsewhere,"2,859","+/-1,312",0.1,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",87.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",87.5,PLACE OF BIRTH,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",88,Total population,"3,263,584",*****,"3,263,584",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",89,Native,"3,175,946","+/-7,382",97.3,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",90,Born in Puerto Rico or the United States,"3,165,593","+/-7,678",97.0,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",91,In Puerto Rico,"3,011,918","+/-12,174",92.3,+/-0.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",92,In the United States,"153,675","+/-8,893",4.7,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",93,"Born in U.S. Island Areas, or born abroad of American parents","10,353","+/-2,573",0.3,+/-0.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",94,Foreign born,"87,638","+/-7,382",2.7,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",94.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",94.5,U.S. CITIZENSHIP STATUS,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",95,Foreign-born population,"87,638","+/-7,382","87,638",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",96,Naturalized U.S. citizen,"41,848","+/-4,392",47.8,+/-3.9,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",97,Not a U.S. citizen,"45,790","+/-5,665",52.2,+/-3.9,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",97.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",97.5,YEAR OF ENTRY,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",98,Population born outside Puerto Rico,"251,666","+/-12,174","251,666",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",98.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",99,Native,"164,028","+/-8,881","164,028",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",100,Entered 2010 or later,"39,519","+/-4,867",24.1,+/-2.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",101,Entered before 2010,"124,509","+/-7,339",75.9,+/-2.5,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",101.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",102,Foreign born,"87,638","+/-7,382","87,638",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",103,Entered 2010 or later,"24,624","+/-4,647",28.1,+/-4.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",104,Entered before 2010,"63,014","+/-5,771",71.9,+/-4.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",104.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",104.5,WORLD REGION OF BIRTH OF FOREIGN BORN,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",105,"Foreign-born population, excluding population born at sea","87,638","+/-7,382","87,638",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",106,Europe,"3,360",+/-937,3.8,+/-1.1,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",107,Asia,"1,414",+/-835,1.6,+/-0.9,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",108,Africa,0,+/-254,0.0,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",109,Oceania,261,+/-282,0.3,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",110,Latin America,"82,371","+/-7,280",94.0,+/-1.4,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",111,Northern America,232,+/-208,0.3,+/-0.2,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",111.3,,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",111.5,LANGUAGE SPOKEN AT HOME,,,,,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",112,Population 5 years and over,"3,159,743","+/-2,131","3,159,743",(X),
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",113,English only,"138,349","+/-10,421",4.4,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",114,Language other than English,"3,021,394","+/-11,023",95.6,+/-0.3,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",115,"Speak English less than ""very well""","2,390,430","+/-21,438",75.7,+/-0.7,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",116,Spanish,N,N,N,N,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",117,"Speak English less than ""very well""",N,N,N,N,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",118,Other Indo-European languages,N,N,N,N,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",119,"Speak English less than ""very well""",N,N,N,N,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",120,Asian and Pacific Islander languages,N,N,N,N,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",121,"Speak English less than ""very well""",N,N,N,N,
DP02PR,5001800US7298,"Resident Commissioner District (at Large) (118th Congress), Puerto Rico",122,Other languages,N,N,N,N,
